votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2013
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2016
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2020
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2050
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2060
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2068
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2070
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2090
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2100
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2105
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2110
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2122
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2130
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2150
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2164
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2170
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2180
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2185
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2188
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2195
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2198
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2220
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2230
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2240
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2261
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2270
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2275
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2282
93003.0,130413.0,246588.0,0.37715947248041265,0.5288700180057424,37410.0,0.15171054552532975,AK,Alaska,2290
5908.0,18110.0,24661.0,0.23956854953164916,0.7343578930294797,12202.0,0.49478934349783055,AL,Autauga County,1001
18409.0,72780.0,94090.0,0.19565309809756615,0.773514719948985,54371.0,0.5778616218514189,AL,Baldwin County,1003
4848.0,5431.0,10390.0,0.46660250240615975,0.5227141482194417,583.0,0.056111645813281985,AL,Barbour County,1005
1874.0,6733.0,8748.0,0.21422039323273892,0.7696616369455875,4859.0,0.5554412437128486,AL,Bibb County,1007
2150.0,22808.0,25384.0,0.08469902300661834,0.8985187519697447,20658.0,0.8138197289631264,AL,Blount County,1009
3530.0,1139.0,4701.0,0.7509040629653265,0.24228887470750904,2391.0,0.5086151882578175,AL,Bullock County,1011
3716.0,4891.0,8685.0,0.4278641335636154,0.5631548647092689,1175.0,0.1352907311456535,AL,Butler County,1013
13197.0,32803.0,47376.0,0.27855876393110435,0.6923969942586964,19606.0,0.41383823032759204,AL,Calhoun County,1015
5763.0,7803.0,13778.0,0.4182755116852954,0.5663376397154885,2040.0,0.14806212803019303,AL,Chambers County,1017
1524.0,8809.0,10503.0,0.14510139960011426,0.8387127487384557,7285.0,0.6936113491383414,AL,Cherokee County,1019
2909.0,15068.0,18255.0,0.1593536017529444,0.8254176937825254,12159.0,0.666064092029581,AL,Chilton County,1021
3109.0,4102.0,7268.0,0.4277655476059439,0.5643918547055586,993.0,0.13662630709961476,AL,Choctaw County,1023
5712.0,7109.0,12936.0,0.44155844155844154,0.5495516388373531,1397.0,0.1079931972789116,AL,Clarke County,1025
1234.0,5230.0,6572.0,0.18776628119293975,0.795800365185636,3996.0,0.6080340839926963,AL,Clay County,1027
684.0,5738.0,6532.0,0.10471524800979792,0.8784445805266381,5054.0,0.7737293325168402,AL,Cleburne County,1029
4194.0,15825.0,20513.0,0.20445571101252863,0.7714619997075025,11631.0,0.5670062886949738,AL,Coffee County,1031
7296.0,16718.0,24626.0,0.2962722325996914,0.6788759847315845,9422.0,0.3826037521318931,AL,Colbert County,1033
3069.0,3413.0,6543.0,0.469050894085282,0.5216261653675683,344.0,0.05257527128228634,AL,Conecuh County,1035
